lead_frequency_class,scenario,n_haplotypes,n_partners,replicate,lead_alt_frequency,n_monomorphic_panel_variants,fit_available,lead_state,n_conditioning_haplotypes,empirical_mode_available,empirical_mode_maximum_count,n_tied_empirical_modes,true_mode_in_empirical_mode_set,ld_sign_available,n_undefined_ld_sign_partners,true_top1_in_fitted_top10,top10_overlap_fraction,available,strategy,exact_true_mode,hamming_to_true_mode,true_log_probability,true_probability,true_probability_regret,true_rank_if_top10
common,balanced_q1,1000,256,13,0.2235649169992518,0,True,0,764,True,1,764,False,True,0,True,0.7,True,ld_sign,True,0.0,-13.426979972748677,1.4748120902206621e-06,0.0,1.0
common,balanced_q1,1000,256,13,0.2235649169992518,0,True,1,236,True,1,236,False,True,0,True,0.4,True,fitted,True,0.0,-12.590635873367479,3.40373951507389e-06,0.0,1.0
common,balanced_q1,1000,256,13,0.2235649169992518,0,True,1,236,True,1,236,False,True,0,True,0.4,True,empirical_mode,False,129.0,-35.429293948316364,4.104432714588986e-16,3.4037395146634467e-06,
common,balanced_q1,1000,256,13,0.2235649169992518,0,True,1,236,True,1,236,False,True,0,True,0.4,True,ld_sign,True,0.0,-12.590635873367479,3.40373951507389e-06,0.0,1.0
common,balanced_q1,1000,256,14,0.15500745338804828,0,True,0,834,True,1,834,False,True,0,True,0.5,True,fitted,True,0.0,-13.712071406537035,1.1089783115645215e-06,3.8116482626443515e-21,1.0
common,balanced_q1,1000,256,14,0.15500745338804828,0,True,0,834,True,1,834,False,True,0,True,0.5,True,empirical_mode,False,127.0,-43.6058343090806,1.154055727682823e-19,1.10897831156441e-06,
common,balanced_q1,1000,256,14,0.15500745338804828,0,True,0,834,True,1,834,False,True,0,True,0.5,True,ld_sign,True,0.0,-13.712071406537035,1.1089783115645215e-06,3.8116482626443515e-21,1.0
common,balanced_q1,1000,256,14,0.15500745338804828,0,True,1,166,True,1,166,False,True,0,True,0.4,True,fitted,True,0.0,-12.213936022454014,4.960837292739513e-06,9.317362419797304e-21,1.0
common,balanced_q1,1000,256,14,0.15500745338804828,0,True,1,166,True,1,166,False,True,0,True,0.4,True,empirical_mode,False,133.0,-40.192447132408276,3.5046285632805596e-18,4.960837292736018e-06,
common,balanced_q1,1000,256,14,0.15500745338804828,0,True,1,166,True,1,166,False,True,0,True,0.4,True,ld_sign,True,0.0,-12.213936022454014,4.960837292739513e-06,9.317362419797304e-21,1.0
common,balanced_q1,1000,256,15,0.31421156033326153,0,True,0,693,True,1,693,False,True,0,True,0.2,True,fitted,False,1.0,-15.053907817793478,2.8984839753021015e-07,1.9563693666924677e-06,6.0
common,balanced_q1,1000,256,15,0.31421156033326153,0,True,0,693,True,1,693,False,True,0,True,0.2,True,empirical_mode,False,132.0,-36.57342668960589,1.3072619015362807e-16,2.246217764091952e-06,
common,balanced_q1,1000,256,15,0.31421156033326153,0,True,0,693,True,1,693,False,True,0,True,0.2,True,ld_sign,True,0.0,-13.006262749881978,2.246217764222678e-06,0.0,1.0
common,balanced_q1,1000,256,15,0.31421156033326153,0,True,1,307,True,1,307,False,True,0,True,0.4,True,fitted,True,0.0,-13.147974541564928,1.9494280393543936e-06,1.6940658945086007e-20,1.0
common,balanced_q1,1000,256,15,0.31421156033326153,0,True,1,307,True,1,307,False,True,0,True,0.4,True,empirical_mode,False,128.0,-36.732975480642985,1.1144778589142507e-16,1.9494280392429626e-06,
