lead_frequency_class,scenario,n_haplotypes,n_partners,strategy,n_panels,n_available,unavailable_fraction,n_empirical_evaluable,unavailable_fraction_among_empirical_evaluable,exact_recovery_given_available,error_given_available,exact_recovery_on_empirical_evaluable_panels,error_on_empirical_evaluable_panels,unconditional_correct_fraction,median_hamming_given_available,p95_hamming_given_available,median_alt_carriers,zero_alt_carrier_fraction,tie_fraction_given_available,true_mode_in_empirical_mode_set_given_available
rare,balanced_q1,1000,256,empirical_mode,30,30,0.0,30,0.0,0.0,1.0,0.0,1.0,0.0,96.0,130.64999999999998,15.5,0.0,1.0,0.0
rare,balanced_q1,1000,256,fitted,30,30,0.0,30,0.0,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.0,1.0,15.5,,,
rare,balanced_q1,1000,256,ld_sign,30,29,0.033333333333333326,30,0.033333333333333326,0.3448275862068966,0.6551724137931034,0.3448275862068966,0.6551724137931034,0.3333333333333333,1.0,6.0,15.5,,,
rare,balanced_q1,2000,4,empirical_mode,30,30,0.0,30,0.0,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.0,1.0,25.0,0.0,0.03333333333333333,0.8666666666666667
rare,balanced_q1,2000,4,fitted,30,30,0.0,30,0.0,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.0,1.0,25.0,,,
rare,balanced_q1,2000,4,ld_sign,30,30,0.0,30,0.0,0.3,0.7,0.3,0.7,0.3,1.0,2.0,25.0,,,
rare,balanced_q1,2000,32,empirical_mode,30,30,0.0,30,0.0,0.2,0.8,0.2,0.8,0.2,2.5,6.549999999999997,35.0,0.0,0.6,0.36666666666666664
rare,balanced_q1,2000,32,fitted,30,30,0.0,30,0.0,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.0,3.6499999999999915,35.0,,,
rare,balanced_q1,2000,32,ld_sign,30,30,0.0,30,0.0,0.0,1.0,0.0,1.0,0.0,8.5,13.099999999999994,35.0,,,
rare,balanced_q1,2000,256,empirical_mode,30,30,0.0,30,0.0,0.0,1.0,0.0,1.0,0.0,102.5,132.55,30.0,0.0,1.0,0.0
rare,balanced_q1,2000,256,fitted,30,30,0.0,30,0.0,0.9666666666666667,0.033333333333333326,0.9666666666666667,0.033333333333333326,0.9666666666666667,0.0,0.0,30.0,,,
rare,balanced_q1,2000,256,ld_sign,30,30,0.0,30,0.0,0.9,0.09999999999999998,0.9,0.09999999999999998,0.9,0.0,1.0,30.0,,,
rare,lead_ld_q1,500,4,empirical_mode,30,30,0.0,30,0.0,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.0,0.5499999999999972,6.5,0.0,0.03333333333333333,0.9666666666666667
rare,lead_ld_q1,500,4,fitted,30,30,0.0,30,0.0,0.9666666666666667,0.033333333333333326,0.9666666666666667,0.033333333333333326,0.9666666666666667,0.0,0.0,6.5,,,
rare,lead_ld_q1,500,4,ld_sign,30,30,0.0,30,0.0,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.0,2.0,6.5,,,
rare,lead_ld_q1,500,32,empirical_mode,30,30,0.0,30,0.0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,2.0,9.099999999999994,9.0,0.0,0.43333333333333335,0.5666666666666667
rare,lead_ld_q1,500,32,fitted,30,30,0.0,30,0.0,0.7333333333333333,0.2666666666666667,0.7333333333333333,0.2666666666666667,0.7333333333333333,0.0,6.0,9.0,,,
rare,lead_ld_q1,500,32,ld_sign,30,28,0.06666666666666665,30,0.06666666666666665,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.6666666666666666,0.0,5.649999999999999,9.0,,,
rare,lead_ld_q1,500,256,empirical_mode,30,29,0.033333333333333326,29,0.0,0.1724137931034483,0.8275862068965517,0.1724137931034483,0.8275862068965517,0.16666666666666666,47.0,82.39999999999998,8.5,0.03333333333333333,0.8275862068965517,0.6206896551724138
rare,lead_ld_q1,500,256,fitted,30,30,0.0,29,0.0,0.9333333333333333,0.06666666666666665,0.9655172413793104,0.03448275862068961,0.9333333333333333,0.0,0.5499999999999972,8.5,,,
rare,lead_ld_q1,500,256,ld_sign,30,20,0.33333333333333337,29,0.31034482758620685,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,8.5,,,
rare,lead_ld_q1,1000,4,empirical_mode,30,30,0.0,30,0.0,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.0,0.5499999999999972,12.0,0.0,0.0,0.9333333333333333
rare,lead_ld_q1,1000,4,fitted,30,30,0.0,30,0.0,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.0,0.5499999999999972,12.0,,,
rare,lead_ld_q1,1000,4,ld_sign,30,30,0.0,30,0.0,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.0,2.0,12.0,,,
rare,lead_ld_q1,1000,32,empirical_mode,30,30,0.0,30,0.0,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.0,6.0,19.5,0.0,0.3,0.8
rare,lead_ld_q1,1000,32,fitted,30,30,0.0,30,0.0,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.0,2.6499999999999915,19.5,,,
rare,lead_ld_q1,1000,32,ld_sign,30,30,0.0,30,0.0,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.0,6.549999999999997,19.5,,,
rare,lead_ld_q1,1000,256,empirical_mode,30,29,0.033333333333333326,29,0.0,0.3103448275862069,0.6896551724137931,0.3103448275862069,0.6896551724137931,0.3,33.0,72.39999999999998,14.0,0.03333333333333333,0.6551724137931034,0.6896551724137931
rare,lead_ld_q1,1000,256,fitted,30,30,0.0,29,0.0,0.9,0.09999999999999998,0.9310344827586207,0.06896551724137934,0.9,0.0,1.0,14.0,,,
rare,lead_ld_q1,1000,256,ld_sign,30,28,0.06666666666666665,29,0.03448275862068961,0.9642857142857143,0.0357142857142857,0.9642857142857143,0.0357142857142857,0.9,0.0,0.0,14.0,,,
rare,lead_ld_q1,2000,4,empirical_mode,30,30,0.0,30,0.0,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.0,0.5499999999999972,24.0,0.0,0.0,0.9333333333333333
rare,lead_ld_q1,2000,4,fitted,30,30,0.0,30,0.0,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.0,0.5499999999999972,24.0,,,
rare,lead_ld_q1,2000,4,ld_sign,30,30,0.0,30,0.0,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.0,2.0,24.0,,,
rare,lead_ld_q1,2000,32,empirical_mode,30,30,0.0,30,0.0,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.0,3.749999999999986,38.5,0.0,0.03333333333333333,0.9
rare,lead_ld_q1,2000,32,fitted,30,30,0.0,30,0.0,0.9,0.09999999999999998,0.9,0.09999999999999998,0.9,0.0,3.549999999999997,38.5,,,
rare,lead_ld_q1,2000,32,ld_sign,30,30,0.0,30,0.0,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.0,6.549999999999997,38.5,,,
rare,lead_ld_q1,2000,256,empirical_mode,30,30,0.0,30,0.0,0.6,0.4,0.6,0.4,0.6,0.0,66.0,28.5,0.0,0.4,0.9
rare,lead_ld_q1,2000,256,fitted,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,28.5,,,
rare,lead_ld_q1,2000,256,ld_sign,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,28.5,,,
rare,lead_ld_q2,500,4,empirical_mode,30,30,0.0,30,0.0,0.8333333333333334,0.16666666666666663,0.8333333333333334,0.16666666666666663,0.8333333333333334,0.0,2.0,11.0,0.0,0.03333333333333333,0.8666666666666667
rare,lead_ld_q2,500,4,fitted,30,30,0.0,30,0.0,0.8333333333333334,0.16666666666666663,0.8333333333333334,0.16666666666666663,0.8333333333333334,0.0,2.0,11.0,,,
rare,lead_ld_q2,500,4,ld_sign,30,30,0.0,30,0.0,0.7333333333333333,0.2666666666666667,0.7333333333333333,0.2666666666666667,0.7333333333333333,0.0,1.0,11.0,,,
rare,lead_ld_q2,500,32,empirical_mode,30,30,0.0,30,0.0,0.3,0.7,0.3,0.7,0.3,2.5,9.549999999999997,11.0,0.0,0.4666666666666667,0.6333333333333333
rare,lead_ld_q2,500,32,fitted,30,30,0.0,30,0.0,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.23333333333333328,0.7666666666666667,0.0,3.749999999999986,11.0,,,
